Year,Waste Produced (Tons),County,Population,Electricity Usage (GWh)
2002.0,19136.84,Del Norte,27517.0,117.067626
2002.0,10513.59,El Dorado,163300.0,665.898217
2002.0,773230.19,Fresno,821809.0,2157.135658
2002.0,20282.57,Glenn,26702.0,83.135757
2002.0,16776.21,Humboldt,128052.0,308.806379
2002.0,198479.37,Imperial,145954.0,445.546523
2002.0,18978.72,Inyo,18311.0,49.333667
2002.0,705725.7,Kern,688063.0,1677.585077
2002.0,101497.68,Kings,133551.0,291.759409
2002.0,48421.68,Lake,60525.0,244.737204
2002.0,20993.16,Lassen,33628.0,97.276737
2002.0,12023878.4,Los Angeles,9679212.0,17917.337912
2002.0,106891.38,Madera,127469.0,336.154775
2002.0,227375.04,Marin,247567.0,659.745146
2002.0,12654.9,Mariposa,17365.0,62.769694
2002.0,67604.11,Mendocino,87326.0,264.114559
2002.0,229705.69,Merced,220018.0,562.7740259999998
2002.0,27370.09,Mono,13298.0,86.703655
2002.0,424477.27,Monterey,407440.0,693.573337
2002.0,184994.82,Napa,127064.0,340.496992
2002.0,22322.39,Nevada,94048.0,379.093481
2002.0,3796608.31,Orange,2902207.0,5989.08259
2002.0,263783.24,Placer,270845.0,1054.980007
2002.0,1043.45,Plumas,20702.0,96.899452
2002.0,1845054.81,Riverside,1655291.0,4832.820103
2002.0,1132062.37,Sacramento,1279588.0,4102.198812
2002.0,60232.15,San Benito,54948.0,111.070475
2002.0,1931424.51,San Bernardino,1782268.0,3817.733496
2002.0,3767567.27,San Diego,2890256.0,5677.814044
2002.0,758701.1,San Francisco,782765.0,1365.713685
2002.0,775174.59,San Joaquin,596039.0,1474.048394
2002.0,271239.39,San Luis Obispo,252604.0,542.0436990000002
2002.0,808867.04,San Mateo,706213.0,1513.29151
2002.0,505393.35,Santa Barbara,404794.0,742.538202
2002.0,1416202.52,Santa Clara,1693230.0,3631.724994
2002.0,240506.58,Santa Cruz,255890.0,542.870673
2002.0,168947.74,Shasta,168304.0,668.133612
2002.0,2382.39,Sierra,3576.0,14.777045
2002.0,14672.0,Siskiyou,44331.0,218.07313900000003
2002.0,424597.5,Solano,404895.0,908.862781
2002.0,538144.06,Sonoma,465726.0,1152.5942730000004
2002.0,225866.28,Stanislaus,468340.0,1504.593933
2002.0,48853.16,Tehama,56873.0,198.324033
2002.0,6892.05,Trinity,13061.0,7.947023
2002.0,334878.36,Tulare,377666.0,941.862252
2002.0,9137.96,Tuolumne,55619.0,208.125792
2002.0,924045.94,Ventura,774438.0,1582.510178
2002.0,187667.02,Yolo,177180.0,437.403605
2002.0,125448.74,Yuba,62080.0,154.455703
2003.0,1585190.61,Alameda,1467892.0,2937.070283
2003.0,2742.1,Alpine,1248.0,6.352394
2003.0,43420.22,Amador,36656.0,129.159655
2003.0,221103.3,Butte,209389.0,658.65355
2003.0,45337.4,Calaveras,42651.0,177.23824299999995
2003.0,20373.2,Colusa,19538.0,58.221056
2003.0,977551.33,Contra Costa,984256.0,2539.933261
2003.0,20334.13,Del Norte,27744.0,121.608702
2003.0,17139.21,El Dorado,166195.0,689.442079
2003.0,945195.61,Fresno,837256.0,2299.209567000001
2003.0,21914.13,Glenn,26974.0,85.005914
2003.0,50636.17,Humboldt,129468.0,315.452239
2003.0,229565.95,Imperial,149041.0,476.965254
2003.0,15034.06,Inyo,18461.0,49.434791
2003.0,858946.03,Kern,707111.0,1831.96964
2003.0,106237.72,Kings,136710.0,313.893397
2003.0,46425.2,Lake,61492.0,243.766015
2003.0,24451.9,Lassen,33828.0,99.290481
2003.0,12312500.12,Los Angeles,9756914.0,19056.036723
2003.0,116390.88,Madera,130641.0,361.647828
2003.0,228782.87,Marin,247342.0,660.459622
2003.0,10531.67,Mariposa,17612.0,64.97561400000001
2003.0,72256.08,Mendocino,87764.0,265.286837
2003.0,249482.13,Merced,225946.0,593.007145
2003.0,30225.59,Mono,13478.0,88.21765400000002
2003.0,426125.77,Monterey,410276.0,707.438704
2003.0,200465.63,Napa,128683.0,354.819742
2003.0,61530.43,Nevada,95277.0,378.582346
2003.0,3998052.11,Orange,2927118.0,6374.642704999998
2003.0,292039.76,Placer,283703.0,1145.031726
2003.0,822.55,Plumas,20722.0,96.153106
2003.0,2033106.79,Riverside,1730219.0,5469.023535
2003.0,1346924.28,Sacramento,1307189.0,4378.308857
2003.0,65500.81,San Benito,55330.0,114.336575
2003.0,2107128.88,San Bernardino,1825379.0,4251.07914
2003.0,4000781.99,San Diego,2927216.0,6043.283018
2003.0,718863.26,San Francisco,782599.0,1363.69552
2003.0,804404.96,San Joaquin,612295.0,1575.103968
2003.0,284651.36,San Luis Obispo,254583.0,624.8196059999998
2003.0,747374.02,San Mateo,704014.0,1514.1073210000004
2003.0,541545.8,Santa Barbara,407828.0,772.939305
2003.0,1412047.82,Santa Clara,1693752.0,3856.616934000001
2003.0,242172.75,Santa Cruz,255368.0,544.60722
2003.0,177741.52,Shasta,170782.0,689.581582
2003.0,2808.0,Sierra,3555.0,15.062015
2003.0,13160.47,Siskiyou,44491.0,231.001682
2003.0,456710.49,Solano,407882.0,990.766941
2003.0,544756.34,Sonoma,467139.0,1187.25935
2003.0,246186.61,Stanislaus,478283.0,1609.938768
2003.0,52666.53,Tehama,57847.0,202.298376
2003.0,7247.18,Trinity,13273.0,7.8389440000000015
2003.0,361310.1,Tulare,385769.0,1037.99351
2003.0,43176.43,Tuolumne,56177.0,207.067087
2003.0,972890.08,Ventura,784632.0,1692.266324
2003.0,201403.25,Yolo,180798.0,473.471103
