County,Year,Electricity Usage (GWh)
Sierra,2016,15.775398999999998
Siskiyou,2016,220.283366
Solano,2016,1015.8776960000001
Sonoma,2016,1299.6009279999998
Stanislaus,2016,1718.251528
Sutter,2016,272.673987
Tehama,2016,229.192708
Trinity,2016,10.823991
Tulare,2016,1215.818157
Tuolumne,2016,209.250363
Ventura,2016,1777.08825
Yolo,2016,508.285125
Yuba,2016,213.948493
Alameda,2015,2893.676837
Alpine,2015,11.855504
Amador,2015,132.79163799999998
Butte,2015,712.388497
Calaveras,2015,191.155224
Colusa,2015,64.133314
Contra Costa,2015,2730.006314
Del Norte,2015,116.131782
El Dorado,2015,720.944651
Fresno,2015,2655.8102949999998
Glenn,2015,90.110176
Humboldt,2015,390.005025
Imperial,2015,534.110851
Inyo,2015,57.033989
Kern,2015,2247.957532
Kings,2015,366.854066
Lake,2015,276.024932
Lassen,2015,95.061273
Los Angeles,2015,20432.526183
Madera,2015,418.86814
Marin,2015,651.961002
Mariposa,2015,67.420439
Mendocino,2015,293.831803
Merced,2015,705.984756
Modoc,2015,54.193089
Mono,2015,78.939684
Monterey,2015,680.620018
Napa,2015,362.486244
Nevada,2015,405.134013
Orange,2015,6894.647623000001
Placer,2015,1363.659086
Plumas,2015,90.90049599999999
Riverside,2015,7065.512428
Sacramento,2015,4708.414804
San Benito,2015,117.821053
San Bernardino,2015,4921.765007
San Diego,2015,6859.123292
San Francisco,2015,1429.672529
San Joaquin,2015,1742.194793
San Luis Obispo,2015,631.58348
San Mateo,2015,1504.937217
Santa Barbara,2015,764.199791
Santa Clara,2015,3849.222461
Santa Cruz,2015,551.553355
Shasta,2015,719.169754
Sierra,2015,14.458804999999998
Siskiyou,2015,220.57134700000003
Solano,2015,1012.2519460000001
Sonoma,2015,1280.5491279999999
Stanislaus,2015,1701.156173
Sutter,2015,272.792832
Tehama,2015,229.19563300000002
Trinity,2015,10.094695
Tulare,2015,1215.659559
Tuolumne,2015,206.552491
Ventura,2015,1816.261284
Yolo,2015,505.49555899999996
Yuba,2015,209.111542
Alameda,2014,2891.232325
Alpine,2014,11.974975
Amador,2014,134.74438700000002
Butte,2014,718.947064
Calaveras,2014,192.54396699999998
Colusa,2014,64.72284499999999
Contra Costa,2014,2731.309642
Del Norte,2014,110.10964299999999
El Dorado,2014,721.053363
Fresno,2014,2692.471908
Glenn,2014,91.392872
Humboldt,2014,395.915896
Imperial,2014,536.1185009999999
Inyo,2014,60.788615
Kern,2014,2294.846631
Kings,2014,376.278996
Lake,2014,285.27735099999995
Lassen,2014,94.366525
Los Angeles,2014,20742.773777000002
Madera,2014,424.63294800000006
Marin,2014,652.468169
Mariposa,2014,68.51898299999999
Mendocino,2014,295.17879700000003
